Date Time (UT),Flare_ID,Date,Time (UT),GOES Class,STIX Coverage,HEK_flare_class,HEK_flare_tstart,HEK_flare_tpeak,HEK_flare_tend,HEK_flare_hgc_x,HEK_flare_hgc_y,HEK_flare_hpc_x,HEK_flare_hpc_y,start_UTC,end_UTC,peak_UTC,4-10 keV,10-15 keV,15-25 keV,25-50 keV,50-84 keV,att_in,bkg 4-10 keV,bkg 10-15 keV,bkg 15-25 keV,bkg 25-50 keV,bkg 50-84 keV,bkg_baseline_4-10 keV,hpc_x_solo,hpc_y_solo,hpc_x_earth,hpc_y_earth,visible_from_earth,hgs_lon,hgs_lat,hgc_lon,hgc_lat,solo_position_lat,solo_position_lon,solo_position_AU_distance,light_travel_time,file_request_id_used,GOES_class_time_of_flare,GOES_flux_time_of_flare,flare_id,earth_position_lon,earth_position_lat,earth_position_AU_distance
2021-04-17 16:46:00,20210417171700,2021-04-17,16:46,B9.0,Yes,B9.7,2021-04-17 16:21:00.000,2021-04-17 17:17:00.000,2021-04-17 18:25:00.000,-133.55919,-21.0,-891.46482,-337.966272,,,,,,,,,,,,,,,,,,,,,,,,,0.39441124744500594,-98.4290288738643,0.8433600555956609,,,,,,0.0,-5.393487530406729,1.0039817940399967
2021-05-05 22:30:00,20210505222934,2021-05-05,22:30,B5.0,Yes,,2021-05-05 22:27:46.000,2021-05-05 22:29:34.000,2021-05-05 22:31:22.000,-15.458804,15.591669,-960.0,268.8,2021-05-05T22:25:27.127,2021-05-05T22:38:03.129,2021-05-05 22:29:11.128,7935.0,607.0,247.0,927.0,495.0,False,247.0,49.0,67.0,863.0,463.0,245.40000000000003,58.953094,327.669861,,,False,-94.04003630338644,17.74884186625538,339.1323470689329,17.74884186625538,-0.3203796725749731,-97.3989740417573,0.912371839419592,48.158973,2105050010.0,B1.3,1.278810231042371e-07,2105052229.0,0.0,-5.130739158154649,1.0040390085746038
2021-05-07 19:00:00,20210507190400,2021-05-07,19:00,M4.0,Yes,M3.9,2021-05-07 18:43:00.000,2021-05-07 19:04:00.000,2021-05-07 19:19:00.000,-29.134596,17.0,-889.5756,288.975276,2021-05-07T18:45:55.192,2021-05-07T20:03:23.200,2021-05-07 19:00:15.193,311295.0,34815.0,3199.0,1471.0,543.0,False,247.0,49.0,67.0,863.0,463.0,249.20793665320977,425.995361,330.041718,-861.7744624046609,309.8772026346488,True,-72.18023844402728,17.974603846626046,336.4702793594355,17.974603846626046,-0.3813168408763782,-97.42660601355698,0.9175063775763868,45.828297,2105070020.0,M3.9,3.9084439777070656e-05,2105071900.0,0.0,-5.1040281410242745,1.004044825008026
2021-05-08 18:30:00,20210508184500,2021-05-08,18:30,C9.0,Yes,C8.6,2021-05-08 18:22:00.000,2021-05-08 18:45:00.000,2021-05-08 18:58:00.000,-26.163091,17.0,-803.73516,302.880852,2021-05-08T18:29:47.233,2021-05-08T18:34:23.234,2021-05-08 18:31:11.233,25599.0,3199.0,863.0,927.0,495.0,False,247.0,49.0,67.0,863.0,463.0,243.4774515336236,627.097473,309.225342,-778.5694896236528,303.5731109540537,True,-58.67970640323398,16.86504176661706,337.01678913834326,16.86504176661706,-0.4130974445971724,-97.44807544954584,0.920076798220401,44.652753,2105080002.0,C3.6,3.600250465751742e-06,2105081831.0,0.0,-5.089922322989046,1.0040478966076984
2021-05-09 13:55:00,20210509135510,2021-05-09,13:55,C4.0,Yes,,2021-05-09 13:53:10.000,2021-05-09 13:55:10.000,2021-05-09 13:55:34.000,-27.194765,14.40804,-729.6,268.8,2021-05-09T13:46:11.348,2021-05-09T15:22:55.358,2021-05-09 13:55:11.349,13823.0,1343.0,991.0,1343.0,607.0,False,271.0,49.0,67.0,863.0,463.0,247.0,764.997009,305.295288,-672.9098845981061,309.001727720203,True,-47.514358492014594,16.730236343260913,337.4947836399913,16.730236343260916,-0.439105272316969,-97.46913785688632,0.9221234611191288,43.735192,2105090024.0,C4.0,4.038655333715724e-06,2105091355.0,0.0,-5.078267515889132,1.0040504344896974
2021-05-17 19:05:00,20210517190544,2021-05-17,19:05,B5.0,Yes,,2021-05-17 19:04:32.000,2021-05-17 19:05:44.000,2021-05-17 19:09:08.000,-158.903198,15.869147,-883.2,268.8,,,,,,,,,,,,,,,,,,,,,,,,,-0.627283281166066,-97.84270834409811,0.9390023312942951,,,,,,0.0,-4.9599187021614695,1.0040762054287928
2021-05-21 19:25:00,20210521192658,2021-05-21,19:25,C5.0,Yes,,2021-05-21 19:23:46.000,2021-05-21 19:26:58.000,2021-05-21 19:31:22.000,-164.804421,19.651113,-422.4,345.6,2021-05-21T19:20:30.799,2021-05-21T19:36:54.801,2021-05-21 19:27:30.800,25599.0,2175.0,183.0,927.0,543.0,False,247.0,53.0,67.0,863.0,463.0,250.6146032884782,724.123413,282.048004,-706.5519263618626,273.4586456563137,True,-50.50751300079827,15.532781456537084,172.7425060354657,15.532781456537082,-0.8100452761001702,-98.06868089724406,0.9449042502513594,33.649942,2105210002.0,C4.8,4.818649358639959e-06,2105211927.0,0.0,-4.902094852343558,1.0040887968090102
2021-05-22 16:10:00,20210522161800,2021-05-22,16:10,C1.0,Yes,C1.8,2021-05-22 16:03:00.000,2021-05-22 16:18:00.000,2021-05-22 16:25:00.000,-167.0483,18.0,-294.503244,320.389818,2021-05-22T16:04:34.924,2021-05-22T16:41:34.931,2021-05-22 16:16:54.925,4351.0,335.0,107.0,927.0,543.0,False,271.0,49.0,67.0,863.0,463.0,248.6,761.335754,281.605469,-671.0802938977722,273.9767694307998,True,-47.13826712283856,15.549776957565744,164.63319926831832,15.549776957565747,-0.8347931605879285,-98.12545134673384,0.9459352690308026,33.215965,2105220053.0,C1.8,1.8050195649266243e-06,2105221616.0,0.0,-4.88963971514237,1.0040915089661677
2021-05-22 17:10:00,20210522170946,2021-05-22,17:10,M1.0,Yes,,2021-05-22 17:07:58.000,2021-05-22 17:09:46.000,2021-05-22 17:12:58.000,-166.10387,19.611645,-268.8,345.6,2021-05-22T17:04:58.929,2021-05-22T17:44:58.933,2021-05-22 17:10:34.930,86015.0,7935.0,1087.0,927.0,543.0,False,271.0,49.0,67.0,863.0,463.0,248.6,939.766052,335.364197,-301.2089548557997,337.87470996705497,True,-19.58037357064393,19.131457918960614,191.6980341105645,19.131457918960614,-0.8358516340007176,-98.1279173730502,0.9459778162523468,33.198127,2105220060.0,M1.2,1.1896459909621626e-05,2105221710.0,0.0,-4.889039467566336,1.0040916396725368
2021-05-22 21:30:00,20210522213246,2021-05-22,21:30,M1.4,Yes,,2021-05-22 21:30:58.000,2021-05-22 21:32:46.000,2021-05-22 21:37:46.000,-163.433287,19.590066,-192.0,345.6,2021-05-22T21:30:06.956,2021-05-22T22:13:42.960,2021-05-22 21:35:42.958,77823.0,5887.0,927.0,1087.0,543.0,False,271.0,53.0,67.0,863.0,463.0,252.66221568172384,757.712036,310.685852,-661.9424682480749,300.9396312470086,True,-46.84188786651822,17.267826059391282,162.000614139393,17.267826059391282,-0.8410754017000036,-98.14013240180492,0.9461859132110726,33.107213,2105220031.0,M1.5,1.4857590940664522e-05,2105222135.0,0.0,-4.886438394737169,1.0040922060668025
