Flare_ID,Date,Time (UT),flare_class,EO_tstart,EO_tpeak,EO_tend,EO_xcen,EO_ycen,depec_file
20190322003300,2019-03-22,00:33:00,C2.1,2019-03-22 00:32:56,2019-03-22 00:33:36,2019-03-22 00:37:51,,,eovsa.spec.flare_id_20190322003300.fits
20190323192800,2019-03-23,19:28:00,B6.0,2019-03-23 19:27:58,2019-03-23 19:28:12,2019-03-23 19:28:30,,,eovsa.spec.flare_id_20190323192800.fits
20190323211900,2019-03-23,21:19:00,C1.3,2019-03-23 21:17:30,2019-03-23 21:19:04,2019-03-23 21:19:50,,,eovsa.spec.flare_id_20190323211900.fits
20190415193100,2019-04-15,19:31:00,B4.7,2019-04-15 19:30:03,2019-04-15 19:32:21,2019-04-15 19:34:11,520.9,151.4,eovsa.spec.flare_id_20190415193100.fits
20190504220800,2019-05-04,22:08:00,B4.0,2019-05-04 22:07:30,2019-05-04 22:09:14,2019-05-04 22:12:23,-893.2,176.9,eovsa.spec.flare_id_20190504220800.fits
20190504224000,2019-05-04,22:40:00,C3.0,2019-05-04 22:30:57,2019-05-04 22:40:08,2019-05-04 22:43:33,-892.4,188.4,eovsa.spec.flare_id_20190504224000.fits
20190506174800,2019-05-06,17:48:00,C1.4,2019-05-06 17:47:12,2019-05-06 17:48:10,2019-05-06 17:49:05,,,eovsa.spec.flare_id_20190506194800.fits
20190506222900,2019-05-06,22:29:00,B6.9,2019-05-06 22:26:07,2019-05-06 22:29:20,2019-05-06 22:32:26,-634.4,191.7,eovsa.spec.flare_id_20190506222900.fits
20190507014600,2019-05-07,01:46:00,B9.3,2019-05-07 01:40:57,2019-05-07 01:45:33,2019-05-07 01:46:51,,,eovsa.spec.flare_id_20190507014600.fits
20190515192200,2019-05-15,19:22:00,C2.9,2019-05-15 19:22:04,2019-05-15 19:23:57,2019-05-15 19:32:38,565.1,156.0,eovsa.spec.flare_id_20190515192200.fits
20200607214300,2020-06-07,21:43:00,B6.4,2020-06-07 21:43:08,2020-06-07 21:44:20,2020-06-07 21:49:55,-338.6,-385.8,eovsa.spec.flare_id_20200607214300.fits
20201018163300,2020-10-18,16:33:00,B2.0,2020-10-18 16:32:01,2020-10-18 16:33:09,2020-10-18 16:37:09,-239.9,-315.7,eovsa.spec.flare_id_20201018163300.fits
20201028221000,2020-10-28,22:10:00,C1.5,2020-10-28 22:05:09,2020-10-28 22:10:08,2020-10-28 22:16:51,479.8,-354.1,eovsa.spec.flare_id_20201028221000.fits
20201029160100,2020-10-29,16:01:00,C1.3,2020-10-29 16:00:16,2020-10-29 16:01:26,2020-10-29 16:03:31,,,eovsa.spec.flare_id_20201029160100.fits
20201029201600,2020-10-29,20:16:00,C1.5,2020-10-29 20:15:00,2020-10-29 20:15:55,2020-10-29 20:19:57,,,eovsa.spec.flare_id_20201029201600.fits
20201105205300,2020-11-05,20:53:00,B7.0,2020-11-05 20:46:47,2020-11-05 20:53:37,2020-11-05 20:59:58,,,eovsa.spec.flare_id_20201105205300.fits
20201105215500,2020-11-05,21:55:00,B9.0,2020-11-05 21:52:03,2020-11-05 21:55:49,2020-11-05 22:01:54,-652.3,-429.9,eovsa.spec.flare_id_20201105215500.fits
20201105222000,2020-11-05,22:20:00,C1.0,2020-11-05 22:18:33,2020-11-05 22:20:47,2020-11-05 22:23:13,-625.5,-452.2,eovsa.spec.flare_id_20201105222000.fits
20201105224000,2020-11-05,22:40:00,B7.0,2020-11-05 22:39:08,2020-11-05 22:39:33,2020-11-05 22:41:54,-650.1,-455.9,eovsa.spec.flare_id_20201105224000.fits
20201106161300,2020-11-06,16:13:00,B4.6,2020-11-06 16:12:49,2020-11-06 16:13:10,2020-11-06 16:16:34,-521.8,-408.5,eovsa.spec.flare_id_20201106161300.fits
20201106214700,2020-11-06,21:47:00,B2.8,2020-11-06 21:47:17,2020-11-06 21:47:36,2020-11-06 21:50:52,-486.0,-427.5,eovsa.spec.flare_id_20201106214700.fits
20201108162400,2020-11-08,16:24:00,B3.4,2020-11-08 16:23:07,2020-11-08 16:23:44,2020-11-08 16:26:00,-144.7,-441.2,eovsa.spec.flare_id_20201108162400.fits
20201108192600,2020-11-08,19:26:00,B4.4,2020-11-08 19:26:06,2020-11-08 19:27:17,2020-11-08 19:35:57,-121.6,-449.7,eovsa.spec.flare_id_20201108192600.fits
20201110194400,2020-11-10,19:44:00,C1.3,2020-11-10 19:44:02,2020-11-10 19:44:25,2020-11-10 19:49:47,292.0,-460.5,eovsa.spec.flare_id_20201110194400.fits
