Flare_ID,Date,Time (UT),GOES Class,STIX Coverage,HEK_flare_class,HEK_flare_tstart,HEK_flare_tpeak,HEK_flare_tend,HEK_flare_hgc_x,HEK_flare_hgc_y,HEK_flare_hpc_x,HEK_flare_hpc_y
2.01904E+13,2019-04-15,19:31:00,B3.3,NA,B3.3,19:27:00,19:31:00,19:34:00,-58.53806,3,535.807062,127.31454
2.02104E+13,2021-04-17,16:46:00,B9.0,Yes,B9.7,16:21:00,17:17:00,18:25:00,-133.55919,-21,-891.46482,-337.966272
2.02104E+13,2021-04-19,23:36:00,M1.0,No data,,23:12:36,23:35:19,0:04:48,-95.576796,-21.857026,-301.8,-279.5
2.02105E+13,2021-05-05,22:30:00,B5.0,Yes,,22:27:46,22:29:34,22:31:22,-15.458804,15.591669,-960,268.8
2.02105E+13,2021-05-07,19:00:00,M4.0,Yes,M3.9,18:43:00,19:04:00,19:19:00,-29.134596,17,-889.5756,288.975276
2.02105E+13,2021-05-08,18:30:00,C9.0,Yes,C8.6,18:22:00,18:45:00,18:58:00,-26.163091,17,-803.73516,302.880852
2.02105E+13,2021-05-09,13:55:00,C4.0,Yes,,13:53:10,13:55:10,13:55:34,-27.194765,14.40804,-729.6,268.8
2.02105E+13,2021-05-17,19:05:00,B5.0,Yes,,19:04:32,19:05:44,19:09:08,-158.903198,15.869147,-883.2,268.8
2.02105E+13,2021-05-21,19:25:00,C5.0,Yes,,19:23:46,19:26:58,19:31:22,-164.804421,19.651113,-422.4,345.6
2.02105E+13,2021-05-22,16:10:00,C1.0,Yes,C1.8,16:03:00,16:18:00,16:25:00,-167.0483,18,-294.503244,320.389818
2.02105E+13,2021-05-22,17:10:00,M1.0,Yes,,17:07:58,17:09:46,17:12:58,-166.10387,19.611645,-268.8,345.6
2.02105E+13,2021-05-22,21:30:00,M1.4,Yes,,21:30:58,21:32:46,21:37:46,-163.433287,19.590066,-192,345.6
2.02105E+13,2021-05-22,23:11:00,C7.0,Yes,C6.8,23:05:00,23:13:00,23:17:00,-165.92534,18,-218.850576,320.58255
2.02105E+13,2021-05-23,17:00:00,C2.0,Yes,,17:01:29,17:03:05,17:08:41,-164.27244,19.647312,-38.4,345.6
2.02105E+13,2021-05-27,22:00:00,C1.0,No,C1.0,21:44:00,22:07:00,22:18:00,142.6644,0,0,19.2798474
2.02105E+13,2021-05-27,23:10:00,C7.0,No,C7.6,22:54:00,23:15:00,23:24:00,-164.97883,21,707.3991,350.698938
2.02105E+13,2021-05-28,22:30:00,C9.0,No,,22:29:20,23:08:44,0:27:20,-165.334578,20.958571,806.4,345.6
2.02107E+13,2021-07-03,14:27:00,X1.5,No,,14:26:42,14:26:54,14:39:06,106.012242,21.351863,883.2,345.6
2.02107E+13,2021-07-06,19:15:00,C1.1,No,C1.2,19:06:00,19:15:00,19:20:00,-25.31005,0,0,-57.7235868
2.02107E+13,2021-07-06,20:58:00,C1.2,No,B5.2,20:53:00,21:01:00,21:06:00,-26.29349,0,0,-57.8530854
2.02107E+13,2021-07-06,21:49:00,C1.1,No,C1.1,21:44:00,21:50:00,21:54:00,-26.76223,0,0,-57.9147786
2.02107E+13,2021-07-09,17:20:00,C4.7,No,C4.7,17:15:00,17:25:00,17:30:00,-63.99417,0,0,-62.751054
2.02108E+13,2021-08-20,15:55:00,C3.0,Yes,C3.0,15:50:00,15:57:00,16:01:00,101.29857,0,0,-114.145512
2.02108E+13,2021-08-20,21:45:00,C1.4,Yes,,21:40:44,21:52:44,22:11:44,10.488849,21.242174,-883.2,345.6
2.02108E+13,2021-08-21,18:41:00,B3.9,Yes,B3.9,18:37:00,18:42:00,18:46:00,86.550802,0,0,-114.85578
2.02108E+13,2021-08-21,21:57:00,B3.9,Yes,,20:50:22,21:59:01,22:31:28,121.806375,12.145532,553.1,108.5
2.02108E+13,2021-08-21,22:29:00,B4.7,Yes,,22:28:08,22:29:56,22:32:56,6.334002,18.007976,-883.2,268.8
2.02108E+13,2021-08-26,18:12:00,C3.0,Yes,,17:53:20,18:16:32,18:58:56,8.61811,18.545032,-192,192
2.02108E+13,2021-08-26,23:20:00,C3.9,Yes,,23:19:22,23:21:22,23:27:10,-1.239523,-30.551486,-268.8,-576
2.02108E+13,2021-08-27,21:00:00,C7.3,Yes,,20:40:27,20:58:17,21:28:21,1.0672016,-27.668193,-74.6,-543.1
2.02108E+13,2021-08-29,17:21:00,C2.9,Yes (occulted?),,16:58:44,17:24:26,17:52:51,2.282786,-25.549129,301.6,-508.1
2.02108E+13,2021-08-30,16:12:00,C2.0,Yes (occulted),,16:14:05,16:14:41,16:16:05,0.148809,-31.147013,422.4,-576
2.02108E+13,2021-08-30,18:23:00,B7.0,Yes (occulted),,18:22:32,18:24:44,18:28:56,3.373388,-25.847736,499.2,-499.2
2.02108E+13,2021-08-30,20:47:00,B8.0,Yes (occulted),B7.8,20:44:00,20:52:00,21:03:00,-2.5263,-26,441.167874,-506.181108
2.02108E+13,2021-08-31,14:48:00,B2.5,No,B5.6,14:42:00,14:50:00,14:54:00,2.58469,-26,615.85812,-488.67726
2.02108E+13,2021-08-31,19:08:00,B7.1,No,B7.1,18:57:00,19:11:00,19:24:00,-0.7545,-27,600.17406,-504.171456
2.02109E+13,2021-09-08,17:24:00,C8.3,Yes,,17:18:58,17:24:34,17:33:58,-162.467121,-14.107029,-192,-345.6
2.02109E+13,2021-09-20,19:24:00,B4.0,Yes,B4.0,19:17:00,19:25:00,19:29:00,-1.028279,-29,-650.61768,-525.553338
2.02109E+13,2021-09-20,21:00:00,B2.5,Yes,B2.5,20:55:00,21:00:00,21:04:00,-1.9266,-29,-650.62998,-525.549
2.02109E+13,2021-09-20,21:52:00,B3.3,Yes,,21:41:32,21:42:08,21:43:32,-1.292753,-27.010329,-652.8,-499.2
2.02109E+13,2021-09-21,20:24:00,B5.1,Yes,,20:23:44,20:24:44,20:27:56,-5.945751,-26.272054,-576,-499.2
2.02109E+13,2021-09-22,20:12:00,C1.1,Yes,,20:12:35,20:13:35,20:14:59,-7.86584,-30.978515,-422.4,-576
2.02109E+13,2021-09-23,15:24:00,M1.9,Yes,,15:03:25,15:26:09,15:35:23,-1.834879,-30.264727,-207.9,-577.7
2.02109E+13,2021-09-23,20:40:00,C1.0,Yes,C1.0,20:34:00,20:41:00,20:46:00,-5.3316145,-27,-221.248812,-532.982016
2.02109E+13,2021-09-24,16:45:00,none? B4.0 at 16:12,No?,B4.0,16:12:00,16:24:00,16:30:00,-9.12861,-23,-122.970816,-478.548684
2.02109E+13,2021-09-24,21:16:00,B2.0,Yes,B2.5,21:11:00,21:16:00,21:20:00,-3.86906,0,0,-116.542038
2.02109E+13,2021-09-25,19:15:00,C1.7,Yes,C1.7,19:11:00,19:17:00,19:21:00,-15.96716,0,0,-116.034576
2.0211E+13,2021-10-11,19:21:00,B2,Yes,,19:23:17,19:24:05,19:33:41,154.820137,17.146626,345.6,192
2.0211E+13,2021-10-12,15:57:00,B6,Yes,,15:59:22,16:00:10,16:03:10,154.160164,16.589777,499.2,192
2.0211E+13,2021-10-28,15:26:00,X1,Yes,X1.0,15:17:00,15:35:00,15:48:00,-84.1613,-26,75.917628,-494.734602
2.02111E+13,2021-11-01,20:43:00,C2.1,Yes,,20:42:29,20:43:17,20:45:05,-151.9684756,15.672394,-115.2,192
2.02111E+13,2021-11-01,21:11:00,C4.0,Yes,,21:11:22,21:14:10,21:30:58,-85.725389,-28.923106,729.6,-499.2
2.02111E+13,2021-11-01,23:39:00,C4.5,Yes,,23:37:29,23:39:53,23:41:29,-148.845624,15.687887,-38.4,192
2.02111E+13,2021-11-03,21:14:00,C5.2,Yes,,21:05:44,21:16:44,21:43:20,-83.7226,-25.468627,883.2,-422.4
2.02112E+13,2021-12-12,21:13:00,C1.2,Yes,,20:49:56,21:12:32,21:28:08,-41.215329,-20.912685,-883.2,-345.6
2.02112E+13,2021-12-14,20:33:00,C1.6,Yes,C1.6,20:23:00,20:33:00,20:43:00,-43.4815684,-20,-723.42708,-325.408182
2.02112E+13,2021-12-31,19:42:00,C8.1,Yes,,19:39:34,19:42:22,19:46:10,-140.782839,19.950191,883.2,345.6
